Session ID,Application,Total Time (seconds)
20241021_180025,pycharm64.exe,3.00
20241021_180025,explorer.exe,2.00
20241021_180025,brave.exe,87.05
20241021_180822,pycharm64.exe,3.00
20241021_180822,brave.exe,467.27
20241021_185047,pycharm64.exe,3.00
20241021_185047,SearchApp.exe,1.00
20241021_185047,explorer.exe,23.02
20241021_185047,Taskmgr.exe,6.00
20241021_185047,firefox.exe,453.33
20241021_185047,LeagueClientUx.exe,83.06
20241021_185047,brave.exe,62.05
20241021_185047,System Idle Process,1.00
20241021_185047,Blitz.exe,11.01
20241021_185047,League of Legends.exe,1511.40
20241021_185047,Acrobat.exe,260.22
20241021_185047,Discord.exe,70.05
